year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean
1985,580.31,580.25,580.64,581.17,581.5,581.53,581.46,581.33,581.36,581.23,581.33,581.36,581.1225
1986,581.17,581.07,581.1,581.46,581.63,581.79,581.99,581.99,581.96,582.35,581.96,581.56,581.6691666666667
1987,581.3,581.04,580.91,580.94,580.91,580.94,580.84,580.68,580.38,580.02,579.72,579.66,580.6116666666667
1988,579.49,579.4,579.3,579.63,579.72,579.63,579.43,579.3,579,578.81,578.84,578.81,579.28
1989,578.67,578.51,578.48,578.77,578.87,579.27,579.3,579.2,578.97,578.54,578.31,578.02,578.7425
1990,577.92,577.95,578.05,578.31,578.58,578.87,579.1,579.04,578.9,578.77,578.71,578.71,578.5758333333333
1991,578.61,578.44,578.51,579,579.4,579.59,579.53,579.36,579,578.74,578.67,578.74,578.9658333333333
1992,578.67,578.61,578.67,578.87,579.17,579.13,579.2,579.17,579.13,579.04,579.13,579.2,578.9991666666666
1993,579.2,579.1,579,579.33,579.72,580.12,580.41,580.31,580.15,579.92,579.72,579.53,579.7091666666666
1994,579.3,579.27,579.36,579.49,579.72,579.79,580.12,580.09,579.99,579.76,579.59,579.36,579.6533333333333
1995,579.17,579.04,578.97,579.04,579.33,579.53,579.49,579.53,579.23,578.94,578.87,578.77,579.1591666666667
1996,578.64,578.71,578.71,578.94,579.49,579.92,580.15,580.18,580.12,580.05,580.02,579.95,579.5733333333334
1997,580.02,580.12,580.35,580.54,580.94,581.14,581.33,581.23,581.1,580.77,580.35,579.99,580.6566666666666
1998,579.86,579.76,579.86,580.35,580.41,580.38,580.31,580.05,579.66,579.23,578.87,578.61,579.7791666666667
1999,578.31,578.35,578.22,578.25,578.35,578.54,578.74,578.61,578.22,577.89,577.56,577.4,578.2033333333334
2000,577.17,577,577.1,577.17,577.43,577.76,577.85,577.85,577.72,577.36,577.07,576.8,577.3566666666667
2001,576.67,576.71,576.71,576.94,577.26,577.62,577.59,577.53,577.46,577.53,577.59,577.59,577.2666666666667
2002,577.4,577.26,577.4,577.62,578.05,578.38,578.51,578.48,578.22,577.89,577.46,577.13,577.8166666666666
2003,576.84,576.61,576.54,576.84,577.17,577.43,577.56,577.49,577.23,577,577.07,577.1,577.0733333333334
2004,577,576.9,577.1,577.36,577.82,578.44,578.64,578.51,578.35,577.92,577.76,577.69,577.7908333333334
2005,577.69,577.76,577.76,577.89,578.05,578.12,578.05,577.99,577.72,577.43,577.2,577.03,577.7241666666666
2006,577.03,577.17,577.2,577.46,577.72,577.89,577.89,577.85,577.56,577.4,577.23,577.36,577.48
2007,577.43,577.13,577.17,577.49,577.62,577.69,577.59,577.43,577.26,577.03,576.67,576.38,577.2408333333333
2008,576.44,576.64,576.71,577.17,577.56,577.95,578.22,578.15,578.02,577.72,577.43,577.33,577.445
2009,577.46,577.46,577.72,578.08,578.54,578.81,578.87,578.87,578.64,578.38,578.31,578.15,578.2741666666667
2010,577.92,577.79,577.72,577.79,577.85,578.05,578.28,578.22,577.95,577.66,577.3,576.97,577.7916666666666
2011,576.8,576.71,576.8,577.13,577.76,578.12,578.28,578.22,577.85,577.69,577.66,577.56,577.5483333333333
2012,577.4,577.3,577.43,577.53,577.59,577.66,577.56,577.33,576.97,576.57,576.38,576.15,577.1558333333334
2013,576.02,576.15,576.21,576.61,577.2,577.59,577.72,577.69,577.56,577.46,577.46,577.33,577.0833333333334
2014,577.26,577.26,577.26,577.62,578.31,578.67,578.94,579,579.1,579.2,579.2,579.17,578.4158333333334
2015,579.1,579.07,579,579.17,579.36,579.66,579.82,579.79,579.72,579.33,579.2,579.23,579.3708333333334
2016,579.3,579.27,579.43,579.95,580.12,580.18,580.18,580.12,579.99,579.69,579.36,579.1,579.7241666666666
2017,578.97,579,579.17,579.59,580.05,580.31,580.68,580.71,580.48,580.28,580.22,580.02,579.9566666666667
2018,579.82,579.86,579.92,580.02,580.45,580.64,580.64,580.54,580.51,580.38,580.25,580.15,580.265
2019,580.09,580.15,580.25,580.58,581.27,581.76,581.92,581.76,581.59,581.66,581.56,581.53,581.1766666666666
2020,581.56,581.53,581.43,581.69,581.96,582.19,582.22,582.09,581.82,581.53,581.36,581.17,581.7125
2021,580.94,580.68,580.54,580.54,580.54,580.48,580.71,580.77,580.48,580.41,579.95,579.69,580.4775
