Year,Total,Avg,Dev
2000,828.4,797.7818966,30.61810345
2001,852.4,797.7818966,54.61810345
2002,769.9,797.7818966,-27.88189655
2003,790.6,797.7818966,-7.181896552
2004,819.6,797.7818966,21.81810345
2005,767.5,797.7818966,-30.28189655
2006,937.8,797.7818966,140.0181034
2007,789.6,797.7818966,-8.181896552
2008,1045.2,797.7818966,247.4181034
2009,916.1,797.7818966,118.3181034
2010,806.6,797.7818966,8.818103448
2011,904.9,797.7818966,107.1181034
2012,743.3,797.7818966,-54.48189655
2013,957.2,797.7818966,159.4181034
2014,943.9,797.7818966,146.1181034
2015,800.9,797.7818966,3.118103448
